Email_ID,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5,Keyword_1_member_0,Keyword_2_member_0,Keyword_3_member_0,Keyword_4_member_0,Keyword_5_member_0,Keyword_1_member_1,Keyword_2_member_1,Keyword_3_member_1,Keyword_4_member_1,Keyword_5_member_1,Keyword_1_member_2,Keyword_2_member_2,Keyword_3_member_2,Keyword_4_member_2,Keyword_5_member_2,Keyword_1_member_3,Keyword_2_member_3,Keyword_3_member_3,Keyword_4_member_3,Keyword_5_member_3,Keyword_1_member_4,Keyword_2_member_4,Keyword_3_member_4,Keyword_4_member_4,Keyword_5_member_4,Keyword_1_member_5,Keyword_2_member_5,Keyword_3_member_5,Keyword_4_member_5,Keyword_5_member_5,Keyword_1_member_6,Keyword_2_member_6,Keyword_3_member_6,Keyword_4_member_6,Keyword_5_member_6,Keyword_1_member_7,Keyword_2_member_7,Keyword_3_member_7,Keyword_4_member_7,Keyword_5_member_7
73,commit,declaration,protobuf-guava-version,missing,feature,commit,declaration,camel-protobuf,camel-11153,feature,git,commit,missing,declaration,updated,git commit,missing,protobuf-guava-version,camel-protobuf,feature,changed,commit,insertion,protobuf-guava-version,,git,commit,camel-11153,protobuf-guava-version,karaf,commit,CAMEL-11153,declaration,-,-,add,missing,protobuf-guava-version,declaration,camel-protobuf-karaf,camel,git,commit,protobuf,guava
74,closed,protobuf-guava-version,pull request,missing,add,closed,pull ,request,camel-11153,1634,GitHub,pull request,closed,missing,declaration,pull request,add,missing,protobuf-guava-version,closed,pull request,closed,protobuf-guava-version,,,pull,request,protobuf-guava-version,asfgit,CAMEL-11153,CAMEL-11153,closed,pull,,-,add,missing,protobuf-guava-version,declaration,closed,camel,pull,request,protobuf,closed
75,closed,itest,camel-protobuf,commented,pull request,camel-protobuf,camel-11153,itest,commented,closed,Commented,Bug,camel-protobuf,pull request,closed,camel-protobuf,itest,fails,again,commented,itest,pull request,closed,commented,bot,jira,commented,CAMEL-11153,camel-protobuf,itest,CAMEL-11153,fail,again,closed,pull,camel-protobuf,itest,fail,closed,pull,camel,pull,request,closed,protobuf
76,upgrade,amq,commit,git,dependency,commit,upgrade,amq,-,-,git,commit,Upgrade,dependency,versions,git commit,upgrade,amq,dependency,versions,upgrade,updated,commit,git,,git,commit,upgrade,AMQ,-,Upgrade, AMQ,,-,-,upgrade,amq,git,commit,-,camel,git,commit,upgrade,amq
77,created,spring-boot,camel-hbase,fails,test,camel-hbase,camel-11154,itest,created,spring-boot,Created,Test,fails,spring-boot,error,created,spring-boot,fails,camel-hbase,tests,fails,spring-boot,created,tests,failures,jira,created,CAMEL-11154,spring-boot,camel-hbase,CAMEL-11154,itest,camel-hbase,created,failures,itest,spring-boot,fails,camel-hbase,created,camel,spring-boot,fails,created,test
78,updated,test,itest,camel-protobuf,issue,camel-hbase,camel-11153,itest,updated,issue,Updated,Bug,Issue Type,Test,camel-protobuf,updated,camel-protobuf,fails,updated,test,issue ,type,was,tests,itest,jira,updated,CAMEL-11153,camel-protobuf,itest,CAMEL-11153,Bug,,-,-,camel-protobuf,itest,fail,issue,test,camel,protobuf,test,fails,updated
79,fixed,camel-protobuf,resolved,fail,itest,camel-protobuf,camel-11153,itest,resolved,fixed,Resolved,Test,Fixed,camel-protobuf,fail,resolved,camel-protobuf,resolution,fixed,test,issue,resolution,fixed,itest,,jira,updated,CAMEL-11153,camel-protobuf,resolution,CAMEL-11153,resolved,camel-protobuf ,fixed,-,camel-protobuf,itest,fail,resolved,fixed,camel,protobuf,test,fixed,resolved
80,ssh,credential,opened,pull request,header,opened,pull,request,CAMEL-11152,ssh,GitHub,pull request,opened,ssh,message headers,ssh,credentials,pull request,github,updated,pull request,credentials,ssh,opened,headers,pull,request,CAMEL-11152,credentials,ssh,CAMEL-11152,adoc,commit,pull,headers,set,credentials,ssh,connection,headers,pull,request,set,credentials,opened
81,commented,camel-ssh,pull request,header,username/password,camel-ssh,camel-11152,headers,commented,credentials,Commented,Improvement,pull request,ssh,message headers,commented,camel-ssh,allow,improvement,username/password,pull request,bot,ssh,opened,commented,jira,commented,CAMEL-11152,camel-ssh,pull,CAMEL-11152,adoc,commit,bot,pull,camel-ssh,message,headers,username/password,pull,camel,ssh,allow,use,headers
82,file,delete,access,not able,denied,able ,delete,files,outside, ,Camel,not able,delete,files,-,not able,delete,files,Outside .camel,,camel ,delete,user ,files,outside,delete,files,-,-,-,thread,.camel,users,-,-,not,delete,files,outside,.camel,camel,not,able,delete,files
83,route,filename,option,camel,look,route,file,name,look,option,Camel,Route,have,look,option,fileName,route,look,option,want,camel ,route,filename,look,,route,file,name,-,-,fileName ,route,option,-,-,camel,route,file,name,filename,camel,route,filename,option,-
84,camel-solr,updated,removed,readme,build,camel-solr,camel-11150,removed,build ,updated,Updated,Bug,Issue Type,Task,camel-solr,updated,camel-solr,removed,readme,task,issue ,type,was,task,readme,jira,commented,CAMEL-11150,camel-solr,camel-ignite,CAMEL-11150,camel-solr,removed,updated,,updated,camel-solr,removed,readme,build,camel-solr,removed,readme,full,build
85,camel-solr,readme,removed,commented,camel-ignite,camel-solr,camel-11150,removed,commented,camel-ignite,Commented,Bug,documentation,camel-solr,removed,commented,camel-solr,removed,readme,task,issue,commented,task,readme,,jira,updated,CAMEL-11150,camel-solr,readme,CAMEL-11150,camel-solr,camel-ignite,readme,,camel-solr,removed,readme,build,locally,camel-solr,removed,cannot,see,locally
86,camel-solr,commented,maven,removed,camel-ignite,camel-solr,camel-11150,removed,commented,camel-ignite,Commented,Task,documentation,camel-solr,think,commented,camel-solr,removed,readme,task,issue,commented,task,readme,,jira,commented,CAMEL-11150,camel-solr,maven,CAMEL-11150,camel-solr,camel-ignite,tests,,camel-solr,include,camel-ignite,maven,goals,camel-solr,removed,readme,maven,hardcode
87,commented,spring-boot,itest,fails,camel-hbase,camel-hbase,camel-11154,itest,commented,fails,Commented,Test,spring-boot,take,look,spring-boot,commented,fails,camel-hbase,test,itest,commented,look?,fails,,jira,commented,CAMEL-11154,itest,spring-boot,CAMEL-11154,itest,camel-hbase,spring-boot,-,commented,itest,spring-boot,fails,camel-hbase,camel,spring-boot,fails,test,commented
88,documentation,websocket,reassigned,implementation,improve,camel-10497,documentation,websocket,details,assigned,reassigned,Improvement,documentation,camel-websocket,port,assigned,improve,documentation,websocket,reassigned,reassigned,improvement,implementation,websocket,,jira,commented,CAMEL-10497,documentation,websocket,CAMEL-10497,reassigned,documentation,-,-,assigned,improve,documentation,websocket,implementation,improve,documentation,websocket,implementation,ports
89,documentation,commented,websocket,improve,verify,camel-10497,documentation,websocket,details,commented,Commented,Improvement,can not,verify,documentation,commented,improve,documentation,reproduce,tests,improvement,implementation,websocket,commented,,jira,commented,CAMEL-10497,documentation,websocket,CAMEL-10497,documentation,adoc,-,-,commented,improve,documentation,websocket,test,improve,documentation,websocket,implementation,verify
90,roadmap,test,passing,itest,camel,roadmap,good,tests,passing,fixed,Camel,Roadmap,look good,release,tests,roadmap,Camel 2.19,spring boot,tests,itest,camel ,itest,spring boot,fails,,2.19,roadmap,-,-,-,CAMEL-11154,passing,tests,-,-,2.19,roadmap,itest,fails,passing,camel,roadmap,good,tests,passing
91,camel-infinispan,created,operation,improvement,command,camel-infinispan,camel-11155,command,operation,created,Created,Improvement,consistentcy,discrepancy,camel-infinispan,camel-infinispan,created,improvement,discrepancie,operation,git,created,camel-infinispan,match,,jira,created,CAMEL-11155,camel-infinispan,operation,CAMEL-11155,created,improvement,header,camel-infinispan,camel-infinispan,created,command,operation,discrepancy,camel-infinispan,command,operation,match,improvement
92,updated,camel-infinispan,operation,discrepancy,command,camel-infinispan,camel-11155,command,operation,updated,Updated,Improvement,Summary,discrepancy,camel-infinispan,updated,camel-infinispan,discrepancie,operation,consistency,git ,updated ,camel-infinispan,discrepancies,,jira,updated,CAMEL-11155,camel-infinispan,operation,CAMEL-11155,updated,discrepancies  ,header,-,camel-infinispan,updated,command,operation,discpancies,camel-infinispan,producer,command,operation,discrepancies
93,camel-infinispan,header,store,started,,camel-infinispan,camel-10896,stores,header ,started,Work Started,Improvement,camel-infinispan,result,header,work started,improvement,camel-infinispan,result,header,camel-infinispan,stores,header ,improvement,,jira,Work Started,CAMEL-10896,camel-infinispan,stores,CAMEL-10896,header,started,,,work,started,camel-infinispan,store,result,camel-infinispan,store,result,header,body
94,spring-boot,commented,fails,itest,checking,camel-hbase,camel-11154,spring-boot,fails,commented,Commented,Checking,spring-boot,itest,fails,commented,spring-boot,fails,camel-hbase,checking,itest,spring-boot,checking,test ,,jira,commented,CAMEL-11154,itest,spring-boot,CAMEL-11154,itest,spring-boot,camel-hbase,-,commented,itest,spring-boot,fails,checking,camel,spring-boot,fails,test,commented
95,deployment,camel-kubernetes,created,support,new feature,camel-kubernetes,camel-11156,support,deployment,created,Created,New Feature,deployment,support,Camel-Kubernetes,camel-kubernetes,add,support,deployment,new feature,add,new,created,deployment,resources,jira,created,CAMEL-11156,camel-kubernetes,deployment,CAMEL-11156,Deployment ,support,created,,created,Camel-Kubernetes,add,support,deployment,camel-kubernetes,add,support,deployment,resources
96,daemonset,camel-kubernetes,created,support,new feature,camel-kubernetes,camel-11157,support,daemonset,created,Created,New Feature,DaemonSet,support,Camel-Kubernetes,camel-kubernetes,add,support,DaemonSet,new feature,add,new,created,daemonset,resources,jira,created,CAMEL-11157,camel-kubernetes,daemonset,CAMEL-11157,DaemonSet,support,created,,created,Camel-Kubernetes,add,support,daemonset,camel-kubernetes,add,support,daemonset,resources
97,job,camel-kubernetes,created,support,new feature,camel-kubernetes,camel-11158,support,job,created,Created,New Feature,Job,support,Camel-Kubernetes,camel-kubernetes,add,support,Job,new feature,add,new,created,job,resources,jira,created,CAMEL-11158,camel-kubernetes,job,CAMEL-11158,Job,support,created,,created,Camel-Kubernetes,add,support,job,camel-kubernetes,add,support,job,resources
98,ingres,camel-kubernetes,created,support,new feature,camel-kubernetes,camel-11159,support,ingress,created,Created,New Feature,Ingress,support,Camel-Kubernetes,camel-kubernetes,add,support,Ingress,new feature,add,new,created,Ingress,resources,jira,created,CAMEL-11159,camel-kubernetes,ingress,CAMEL-11159,Ingress,support,created,,created,Camel-Kubernetes,add,support,ingress,camel-kubernetes,add,support,ingress,resources
99,failing,build,still,jenkins,camel.trunk.notest,camel.trunk.notest,build,still,failing,status,FAILURE,Jenkins,X-Jenkins-Result,build system,still,jenkins,still,failing,build,camel.trunk.notest,Jenkins,failing,build,,,jenkins,camel.trunk.notest,build,failing,-,camel.trunk.notest,FAILURE,Still,Failing,-,jenkins,camel.trunk.notest,build,still,failing,jenkins,build,still,failing,-
100,xerces,commented,accessexternaldtd,property,wrong,Xerces,camel-11100,property,commented,wrong,Commented,Bug,camel-validator,wrong,version,commented,accessExternalDTD,Xerces,version,wrong,commented,accessExternalDTD,Xerces,bug,change,jira,commented,CAMEL-11000,accessExternalDTD,-,CAMEL-11000,camel-validator,change,accessExternalDTD,Xerces,commented,property,accessexternaldtd,recognized,xerces,camel,property,not,recognised,xerces
101,xerces,updated,accessexternaldtd,version/s,fix,Xerces,camel-11100,property,commented,version,Updated,Bug,Fix Version/s,camel-validator,,updated,accessExternalDTD,Xerces,recognized,bug,camel-validator,bug,exception,regression test,accessExternalDTD,jira,updated,CAMEL-11000,accessExternalDTD,Version/s,CAMEL-11000,updated,2.17.7,accessExternalDTD,Xerces,updated,camel-11000,fix,version,xerces,issue,simpler,warning,property,xerces
102,created,doc,ascii,task,component,component,docs,camel-11160,ascii,created,Created,Task,warning,component,documents,created,task,component,doc,ascii,docs,warns,task,,,jira,created,CAMEL-11160,ignite-component.adoc,asciidoctor,CAMEL-11160,ascii,documentation,created,,created,camel-11160,ascii,doc,warns,component,docs,ascii,task,minor
103,docker,upgrade,java,commit,version,upgrade,docker,version,commit,java,commit,upgrade,docker,java,version,git commit,upgrade,docker,java,version 3.0.9,commit,update,java,version,docker,git,commit,docker,java,upgrade,commit,upgrade,docker,version,-,commit,upgrade,docker,java,version,upgrade,docker,java,version,git commit
104,commented,release,accessexternaldtd,xerces,property,Xerces,camel-11100,property,commented,release,Commented,Bug,camel-validator,release,version,commented,accessExternalDTD,release,2.17.7,bug,accessExternalDTD,commented,bug,release,,jira,commented,CAMEL-11000,accessExternalDTD,2.17.7,CAMEL-11000,2.17.7,accessExternalDTD,Xerces,-,commented,camel-11000,accessexternaldtd,xerces,release,property,not recognised,xerces,release,commented
105,pom.xml,camel-catalog,fix,javadoc,commit,camel-catalog,javadoc,generated,commit,pom.xml,Commit,Fix,camel-catalog,javadoc,generated,git commit,camel-catalog,fix,pom.xml,maven,commit,fix,pom.xml,javadoc,,git,commit,pom.xml,camel-catalog,-,pom.xml,camel-catalog,fix,-,-,commit,fix,pom.xml,generated,javadoc,fix,camel-catalog,generated,javadoc,copy/rename
106,doc,ascii,commit,component,warn,component,docs,camel-11160,ascii,commit,Commit,Component,docs,acsii,warns,git commit,component,doc,ascii,warn,commit,updated,adocs,warns,,git,commit,CAMEL-11160,ascii,doc,CAMEL-11160,ascii,documentation,-,-,commit,camel-11160,ascii,doc,warns,camel,git commit,component,docs,ascii
107,resolved,ascii,doc,component,fixed,component,docs,camel-11160,ascii,resolved,Resolved,Fixed,Component,docs,warns,resolved,component,doc,ascii,fixed,commit,fixed,adocs,warns,,jira,resolved,CAMEL-11160,ascii,resolution,CAMEL-11160,resolved,ascii,documentation,-,resolved,camel-11160,ascii,doc,warns,component,docs,ascii,resolved,warns
108,dependency,test,load,commit,do not,camel-11154,test,dependencies,load,commit,Commit,Do not,load,test,dependencies,git commit,do not,load,test,dependencies,test ,dependencies,load,commit,,git,commit,CAMEL-11154,load,dependencies,CAMEL-11154,test,dependencies,-,-,commit,camel-11154,test ,dependencies,-,camel,git,not load,test,dependencies
109,spring-boot,commented,fails,itest,camel-hbase,camel-hbase,camel-11154,spring-boot,fails,commented,Commented,Test,Fails,spring-boot,changed,commented,spring-boot,fails,camel-hbase,itest,spring-boot,fails,test,dependencies,commented,jira,commented,CAMEL-11154,itest,spring-boot,CAMEL-11154,itest,camel-hbase,spring-boot,-,commented,camel-11154,spring-boot,fails,import,itest,spring-boot,fails,camel-hbase,commented
110,improvement,created,service-call,customize,component,camel-11161,service ,call,properites,created,Created,Improvement,camel-core,properties,component,created,service call,implement,concepts,improvement,improvement,configuration,service-call,customization,,jira,created,CAMEL-11161,service-call,improvement,CAMEL-11161,created,improvement,service-call,customize ,created,improvement,service,customize,camel-11161,service-call,customize,component,implement,concepts
111,hystrix,route,inject,dynamically,property,hystrix,properties,route,inject,how,usecase,threadpool,maybe,configuration,routes,dynamically,inject ,hystrix,properties,route,threadpool,size,Re:,properties,,dynamically,inject,hystrix,threadpool,suggest,hystrix ,usecase ,create,routes,,dynamically ,inject,hystrix,route,-,dynamically,inject,hystrix,properties,route
112,failing,build,jenkins,camel.trunk.notest,status,jenkins,build,system,Camel.trunk.notest,failing,Failing,Still,Jenkins,Camel.trunk.notest,status,build,camel.trunk.notest,status,failing,jenkins,Jenkins,failing,build,still,,jenkins,build,failing,-,-,failing,camel.trunk.notest,build,jenkins,failure,camel.trunk.notest,build,status,still ,failing,jenkins,build,system,camel.trunk.notest,failing
113,example,commit,polished,servicecall,git commit,commit,polished,example,servicecall,spring,commit,example,bash,servicecall,springcloud,git commit,example,diff,service call,-,commit,polished,example,,,git,commit,polished,example,-,polished,commit,example,,,commit,polished,example,-,-,camel,git commit,polished,example,-
114,documentation,servicecall,eip,commit,add,commit,servicecall,documentation,eip,-,commit,ServiceCall,documentation,add,-,git commit,ServiceCall,Add,EIP,documentation,servicecall,documentation,add,,,git,commit,servicecall,documentation,-,ServiceCall,commit,documentation,EIP,-,commit,servicecall,eip ,documentation,-,camel,git commit,servicecall,eip,documentation
115,protobuf,opened,issue,pull request,support,pull,request,protobuf ,issue,open,pull request,opened,camel-protobuf,GitHub,issue,pull request,protobuf,opened,-,-,pull request,protobuf,plugin,issue,,pull,request,protobuf,support,#1636,opened,camel-protobuf,pull,request,-,pull,request,opened,protobuf,support,camel,pull request,protobuf,issue,opened
116,stringutils,objecthelper,commit,avoid,favor,commit,stringutils,avoid,objecthelper,camel-grpc,commit,avoid,StringUtils,favor,ObjectHelper,git commit,StringUtils,ObjectHelper,avoid,use,commit,ObjectHelper,StringUtils,changed,,git,commit,stringutils,objecthelper,-,commit,StringUtils,ObjectHelper,-,-,commit,avoid,stringutils,favor,objecthelper,camel,git,commit,avoid,stringutils
117,camel-protobuf,gmaven-plugin,commit,set,version,camel-protobuf,gmaven-plugin,version,global,commit,commit,camel-protobuf,plugin version,global,param,git commit,camel-protobuf,set,gmaven-plugin,global param,commit,camel-protobuf,gmaven-plugin,version,set,git,commit,camel-protobuf,gmaven-plugin,-,commit,camel-protobuf,set ,gmaven-plugin,param,commit,camel-protobuf,set,gmaven-plugin,global,camel-protobuf,git commit,gmaven-plugin,version,set
118,support,camel-protobuf,check,commit,plugin,camel-protobuf,check,support,plugin,commit,commit,camel-protobuf,check,support,plugin,git commit,camel-protobuf,check,OS,supports,protobuf,plugin,check ,supports,dependency,git,commit,camel-protobuf,OS,supports,commit,camel-protobuf,supports,gmaven-plugin,-,commit,camel-protobuf,check,plugin,support,camel-protobuf,git commit,check,supports,plugin
119,fix,naming,commit,impl,ssh,commit,camel-11152,naming,fix,impl,commit,naming,fix,ssh,headers,git commit,naming,fix,impl,-,naming,fix,implementation,commit,,git,commit,CAMEL-11152,impl,fix,CAMEL-11152,naming,fix,impl,-,commit,camel-11152,fix,branch,update,camel,git commit,naming,fixed,impl
120,camel-ssh,updated,header,fix,fix version,camel-11152,camel-ssh,version,headers,updated,Updated,Fix Version,camel-ssh,headers,Improvement,updated,camel-ssh,allow,improvement,username/password,headers,username/password,fix ,versions,was:,jira,updated,CAMEL-11152,camel-ssh,improvement,CAMEL-11152,camel-ssh,updated,-,-,updated,camel-ssh,headers,fix,version/s,camel-ssh,message,headers,username/password,fix
121,resolved,camel-ssh,fixed,header,username/password,camel-11152,camel-ssh,version,headers,resolved,Resolved,camel-ssh,improvement,headers,Fixed,resolved,camel-ssh,fixed,improvement,username/password,headers,username/password,fixed,versions,,jira,resolved,CAMEL-11152,camel-ssh,improvement,CAMEL-11152,resolved,camel-ssh,fixed,-,resolved,camel-11152,fixed,message,headers,camel-ssh,message,headers,username/password,resolved
122,credential,ssh,closed,set,pull request,camel-11152,credentials,ssh,pull,request,GitHub,pull request,closed,ssh,credentials,pull request,credentials,ssh,closed,-,set,credentials,ssh,pull request,closed,pull,request,CAMEL-11152,1635,credentials,CAMEL-11152,set,credentials,ssh,-,pull,request,closed,set,credentials,pull request,set,credentials,ssh,closed
123,camel-ssh,commented,closed,header,pull request,camel-11152,camel-ssh,headers,pull,request,Commented,camel-ssh,improvement,closed,pull request,commented,camel-ssh,closed,pull request,-,headers,username/password,pull request,closed,,jira,commented,CAMEL-11152,camel-ssh,improvement,CAMEL-11152,camel-ssh,commented,-,-,commented,bot,closed,pull,request,camel-ssh,message,headers,username/password,commented
124,example,polished,commit,servicecall,bash,commit,polished,example,servicecall,service,Commit,example,bash,spring-boot,servicecall,git commit,polished,example,service call,-,commit,polished,example,,,git,commit,polished,example,-,polished,commit,example,-,-,commit,polished,example,-,-,camel,git commit,polished,example,repository
125,closed,protobuf,issue,pull request,github,pull ,request,protobuf ,issue,closed,GitHub,pull request,protobuf,user,closed,closed,pull request,protobuf,-,-,protobuf,issue,pull request,closed,,pull,request,protobuf,issue,closed,pull,closed,request,protobuf,-,pull,request,closed,protobuf,-,camel,pull request,closed,protobuf,issue
126,customize,work started,service-call,property,component,properties,service ,call,started,camel-11161,Work Started,Improvement,service-call,camel-core,customize,work started,service call,implement,improvement,concepts,service-call,customize,work-started,,,jira,Work Started,CAMEL-11161,service-call,improvement,CAMEL-11161,service-call,started,customize,,work,started,service ,call,customize,work started,servicecall,properties,customize,component
127,camel-solr,readme,commented,removed,build,camel-11150,camel-solr,removed,build,readme,Commented,camel-solr,documentation,thanks,hints,commented,camel-solr,thanks,hints,local build,camel-solr,documentation,commented,readme,camel-ignite,jira,commented,CAMEL-11150,camel-solr,documentation,CAMEL-11150,camel-solr,removed,readme,build,commented,camel-solr,removed ,readme,build,camel-solr,removed,thanks,readme,hints
128,camel-solr,camel-ignite,updated,readme,removed,camel-11150,camel-solr,camel-ignite,build,updated,Updated,summary,documentation,camel-solr,camel-ignite,updated,camel-solr,camel-ignite,removed,build,camel-solr,documentation,readme,summary,camel-ignite,jira,updated,CAMEL-11150,camel-solr,camel-ignite,CAMEL-11150,camel-solr/camel-ignite,removed,readme,,updated,camel-solr/camel-ignite,removed,readme,build,camel-solr,camel-ignite,removed,readme,summary
129,camel-grpc,opened,support,pull request,protobuf,pull,request,camel-grpc,protobuf,protoc,GitHub,pull request,camel-grpc,opened,protobuf,pull request,opened,check,OS,supports,pull request,camel-grpc,opened,plugin,,pull,request,#1637,camel-grpc,supports,pull,opened,request,supports,-,camel-grpc,os,support,generator,plugin,pull request,camel-grpc,check,supports,opened
130,camel-rest,created,check,improvement,content-type,camel-11162,camel-rest,check,server,created,Created,Improvement,camel-rest,content-type,check,created,add,check,server side,should we,camel-rest,created,improvement,,,jira,created,CAMEL-11162,camel-rest,improvement,CAMEL-11162,camel-rest,content-type,server,-,created,improvement,camel-rest,content-type,check,camel-rest,add,content-type,check,should
131,commented,camel-solr,apt-error,readme,log file,camel-11150,camel-solr,camel-ignite,commented,removed,Commented,camel-solr,camel-ignite,documentation,log,commented,apt-error,log file,camel-solr,directory,camel-solr,readme,documentation,commented,camel-ignite,jira,commented,CAMEL-11150,camel-solr,documentation,CAMEL-11150,camel-solr/camel-ignite,apt-error,directory,log,commented,camel-solr/camel-ignite,removed ,readme,apt-error,camel-solr,camel-ignite,removed,readme,apt-error
132,camel-grpc,protobuf,commit,support,check,commit,camel-grpc,protobuf ,check,generator,commit,camel-grpc,protobuf,plugin,support,git commit,check,OS,supports,plugin,pull request,camel-grpc,commit,,,git,commit,camel-grpc,protobuf,supports,camel-grpc,commit,protobuf,-,-,commit,camel-grpc,os,support,protobuf,camel-grpc,git commit,check,protobuf,supports
133,closed,camel-grpc,pull request,support,check,pull,request,closed,protoc,camel-grpc,GitHub,pull request,closed,camel-grpc,user,pull request,closed,OS,supports,check,pull request,camel-grpc,pull request,closed,,pull,request,camel-grpc,supports,-,pull,closed,request,camel-grpc,-,pull,request,closed,camel-grpc,-,camel-grpc,pull request,closed,check,supports
134,upgrade,kubernetes,model,version,commit,commit,upgrade,kubernetes,version,model,commit,upgrade,kubernetes,model,version,git commit,Kubernetes Model,version 1.0.72,upgrade,-,upgrade,kubernetes,model,version,,git,commit,kubernetes,upgrade,1.0.72,Kubernetes ,upgrade,model,-,-,commit,upgrade ,Kubernetes,model,version,camel,git commit,upgrade,kubernetes,model
135,upgrade,kubernetes,client,version,commit,commit,upgrade,kubernetes,version,client,commit,upgrade,kubernetes,client ,version,git commit,Kubernetes Client,version 2.2.14,upgrade,-,upgrade,kubernetes,client,version,,git,commit,kubernetes,client,2.2.14,Kubernetes ,upgrade,client,-,-,commit,upgrade,Kubernetes,client,version,camel,git commit,upgrade,kubernetes,client
136,camel-solr,commented,camel-ignite,removed,readme,camel-11150,camel-solr,camel-ignite,removed,dir,Commented,documentation,camel-solr,camel-ignite,check,commented,maven log,check,camel-solr,camel-ignite,camel-solr,readme,documentation,commented,,jira,commented,CAMEL-11150,camel-solr,documentation,CAMEL-11150,camel-solr/camel-ignite,removed,dir,-,commented,camel-solr/camel-ignite,removed,readme,build,camel-solr,camel-ignite,removed,readme,maven
137,component,description,commit,add,table,camel-11144,component,table,commit,milo,commit,add,components,table,description,git commit,add,component,description,table,commit,add ,components,,,git,commit,CAMEL-11144,component,description,CAMEL-11144,commit,components,description,table,commit,add ,components,description,signed-off-by,camel,git commit,add,components,description
138,closed,invalid,service-call,resolution,property,camel-11161,closed,service,properties,call,Closed,Improvement,service-call,invalid,camel-core,closed,Service Call,resolution,invalid,1 to 1 mapping,service-call,resolution,invalid,closed,,jira,closed,CAMEL-11161,service-call,improvement,CAMEL-11161,service-call,invalid,closed,,closed,service ,call,resolution,invalid,service-call,closed,invalid,properties,component
139,soap,request,response,active mq,put,active,mq,SOAP,request,response,SOAP,Request,Sample,Code,Jboss,active mq,soap,request,-,-,soap,request,MQ,response,,Active MQ,soap,request,response,queue,SOAP,request,response,,-,active,mq,queue,soap,response,active mq,put,soap,request,response
140,annotation,created,improvement,generated,add,camel-11163,annotation,REST,Generated,created,Created,Improvement,tooling,REST,annotation,created,generated,annotation,swagger,improvement,add,@generated,created,improvement,,jira,created,CAMEL-11163,REST DSL Swagger,improvement,CAMEL-11163,add,annotation,generated,tooling,created,improvement,add,annotation,-,add,generated,annotation,rest,help
141,annotation,commit,generated,add,code,camel-11163,annotation,generated,REST,commit,commit,Add,annotation,generated,routebuilder,git commit,generated,annotation,swagger,analysis,commit,@generated,created,improvement,,git,commit,CAMEL-11163,annotation,REST,CAMEL-11163,code,commit,annotation,-,commit,add,annotation,source,code,camel,git commit,add,annotation,source
142,resolved,annotation,generated,add,implemented,camel-11163,generated,annotation,REST,resolved,Resolved,Improvement,tooling,REST,annotation,resolved,generated,annotation,swagger,analysis,improvement,resolved,commit,,,jira,resolved,CAMEL-11163,REST DSL Swagger,improvement,CAMEL-11163,resolved,implemented,-,-,resolved,implemented,fix ,version/s,add,camel,add,resolved,annotation,generated
143,camel-sql,exception,clause,throw,bug,camel-sql,exception,query,clause,expected,Camel-SQL,exception,throws,bug,clauses,camel-sql,query,clause,bug,alternative,camel-sql,exception,query,,,Camel-SQL,clauses,exception,-,-,Camel-SQL,2.17.3,throws,exception,-,camel-sql,clauses,throws ,exception,-,camel-sql,throws,exception,bug,behaviour
144,component,commit,description,add,table,camel-11144,commit,components,table,description,commit,add,components,table,description,git commit,add,component,description,table,commit,add ,components,updates,,git,commit,CAMEL-11144,component,description,CAMEL-11144,commit,components,description,table,commit,add,components,table,-,camel,git commit,add,components,description
145,regen,commit,changed,milo,user-manual,commit,regen,milo,manual,-,commit,regen,user-manual,readme,changed,git commit,regen,-,-,-,commit,client,changed,ua,adocs,git,commit,regen,2.19,-,commit,regen,-,-,-,commit,regen,-,-,-,camel,git commit,regen,milo,component
146,camel-sql,exception,version,try,clause,camel-sql,exception,query,version,clause,Camel-SQL,exception,try,newer,version,camel-sql,query,clause,try,newer,camel-sql,exception,query,try,,Camel-SQL,clauses,exception,try,version,Camel-SQL,newer,version,-,-,camel-sql,clauses,throws ,exception,version,camel-sql,try,new,version,exception
147,salesforce,created,annotation,add,improvement,camel-11164,annotation,salesforce,generated,created,Created,Improvement,Add,Generated,annotation,created,salesforce,generates,data transfer objects,api,add,@generated,annotation,salesforce,created,jira,created,CAMEL-11164,annotation,salesforce,CAMEL-11164,Salesforce,improvement,created,trivial,created,improvement,add,annotation,salesforce,add,generated,annotation,salesforce,maven
148,annotation,created,springbootautoconfigurationmojo,improvement,add,camel-11165,annotation,springbootautoconfigurationmojo,generated,created,Created,Improvement,Add,annotation,tooling,created,maven,annotation,analysis,ides,add,@generated,annotation,springbootautoconfigurationmojo,created,jira,created,CAMEL-11165,annotation ,springbootautoconfigurationmojo,CAMEL-11165,SpringBootAutoConfigurationMojo,annotation,improvement,-,created,improvement,add ,annotation,Springbootautoconfigurationmojo,add,generated,annotation,springbootautoconfigurationmojo,improvement
